Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
NC_075428.1,Canine picornavirus,A128thr,Mischivirus D,Mischivirus,USA,Canis lupus familiaris,1968
NC_043072.1,Bat picornavirus BatPV/V1/13 Hun,,Mischivirus B,Mischivirus,Hungary,Miniopterus schreibersii,2013
NC_034381.1,mischivirus A1,,Mischivirus A,Mischivirus,China,Miniopterus schreibersii,2010
NC_026470.1,mischivirus C1,PREDICT-06105,Mischivirus C,Mischivirus,Democratic Republic of the Congo,Macronycteris gigas,2013
NC_016964.1,Canine picornavirus,325,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,2008
JN831355.1,Canine picornavirus,244,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,2008
KU871312.1,Canine picornavirus,,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,2008
KU871313.1,Canine picornavirus,,Mischivirus D,Mischivirus,United Arab Emirates,Canis lupus familiaris,2013
KP100644.1,mischivirus C1,PREDICT-06105,Mischivirus C,Mischivirus,Democratic Republic of the Congo,Macronycteris gigas,2013
JQ814851.1,mischivirus A1,,Mischivirus A,Mischivirus,China,Miniopterus schreibersii,2010
JN831356.1,Canine picornavirus,325,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,2008
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,1981
OQ818316,Pteropus rufus mischivirus,AMB150,Pteropus rufus mischivirus,Mischivirus,Madagascar,Pteropus rufus,2018
